Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language
Mountain,BRO,The Brothers' War,275,normal,common,4,75701,abf2ec64-a850-47e3-91a8-7323e04a5f4a,de
Island,BRO,The Brothers' War,271,normal,common,4,75746,bf35ed4f-fa34-4fd6-b7d8-3c4aeda1e9ea,de
Swamp,BRO,The Brothers' War,273,normal,common,4,75350,25bcf9b0-ee35-4911-b515-7182e703beba,de
Myriad Landscape,DSC,Duskmourn: House of Horror Commander,289,normal,uncommon,1,99266,9a8b2950-8c5d-45ad-b2ce-59d96eca1e71,de
Rakdos Carnarium,CLU,Ravnica: Clue Edition,243,normal,common,1,91137,b2eaa0f2-9f8e-4b41-8916-9c9a985c39de,de
Reliquary Tower,DSC,Duskmourn: House of Horror Commander,295,normal,uncommon,1,99219,78a8c8ed-9afc-4855-bd6a-cf4e2335ecfa,de
Mnemonic Sphere,NEO,Kamigawa: Neon Dynasty,64,normal,common,1,66648,1a15d8d9-0575-4add-ae8d-4576e8ed2cbe,de
Thoughtcast,MOC,March of the Machine Commander,242,normal,common,1,81643,466a0be8-31b9-4ea0-9a96-b09a76f4ec69,de
Executioner's Capsule,2XM,Double Masters,92,normal,common,1,52088,032ea333-96e1-4ad8-8947-21d6bc3a9f91,de
Feed the Swarm,OTC,Outlaws of Thunder Junction Commander,134,normal,common,1,93473,0be3e9b2-db8f-4b1f-8f22-e2e897ed83d6,de
Faithless Looting,OTC,Outlaws of Thunder Junction Commander,165,normal,common,1,93520,1ea23c17-6960-44fd-bae3-e24595b00c22,de
Arcane Signet,M3C,Modern Horizons 3 Commander,283,normal,common,1,94711,156a1ca1-e4b1-4e0c-a786-fd80fe189896,de
Commander's Sphere,DRC,Aetherdrift Commander,125,normal,common,1,102989,3adcc4c3-9305-4394-a64f-fd0fa107cbf9,de
Dimir Signet,CLU,Ravnica: Clue Edition,221,normal,common,1,91186,c3af24ce-b1ab-4137-9222-a4080acae928,de
Mycosynth Wellspring,C21,Commander 2021,252,normal,common,1,58683,c11c16ff-1786-4426-86b0-d7beb7a71798,de
Nihil Spellbomb,A25,Masters 25,226,normal,common,1,2490,e5892a23-efae-4731-9b8f-41c87960fe93,de
Prophetic Prism,DMC,Dominaria United Commander,189,normal,common,1,71652,a0dcb495-9562-4961-b095-8b844dfdb601,de
Rakdos Signet,DSC,Duskmourn: House of Horror Commander,250,normal,uncommon,1,99035,01cc9536-f710-4c47-9e3f-d7e83cc888f2,de
Wayfarer's Bauble,M3C,Modern Horizons 3 Commander,315,normal,common,1,94740,45794583-7f65-48e4-8d91-b2f8994c4215,de
Ash Barrens,DRC,Aetherdrift Commander,147,normal,common,1,103347,f05aa4e3-2919-46cb-9eeb-926ddf18d6f4,de
Command Tower,M3C,Modern Horizons 3 Commander,331,normal,common,1,94722,27e36832-09ca-4070-8511-94580014c3ed,de
Drossforge Bridge,MH2,Modern Horizons 2,246,normal,common,1,59574,5b46b8d8-723a-4752-b97d-29ef83bd294c,de
Great Furnace,BRC,The Brothers' War Commander,187,normal,common,1,75408,3fde36b4-95e0-4592-b67c-05548bbb1679,de
Mistvault Bridge,MH2,Modern Horizons 2,249,normal,common,1,59709,9f36a6e2-3e51-4a30-a225-10cfe6650b9d,de
Path of Ancestry,DRC,Aetherdrift Commander,166,normal,common,1,103021,4898fba1-d692-4440-bfff-ae535bdc1ba8,de
Seat of the Synod,BRC,The Brothers' War Commander,198,normal,common,1,75416,4277ebca-1c8d-4066-969a-28adf6445b3e,de
Silverbluff Bridge,MH2,Modern Horizons 2,255,normal,common,1,59825,d80dc025-c2c4-48c2-8354-7d9ddb430eb9,de
Terramorphic Expanse,OTC,Outlaws of Thunder Junction Commander,336,normal,common,1,93765,9c418bac-c1d1-4fbf-aaca-7bc36b3913c4,de
Vault of Whispers,BRC,The Brothers' War Commander,211,normal,common,1,75891,f482fe5c-1ff5-46f8-befa-b84deaa29f45,de
"Traxos, Scourge of Kroog",BRC,The Brothers' War Commander,170,normal,rare,1,75449,513fd010-db79-4aa4-8186-776fc3e27750,de
Darkwater Catacombs,OTC,Outlaws of Thunder Junction Commander,282,normal,rare,1,93654,5d2b5e7c-7c96-42d6-9eb5-743c345c4463,de
Exotic Orchard,DRC,Aetherdrift Commander,155,normal,rare,1,102910,0f31cb4c-c0f4-42fc-9661-723f78ee4d56,de
Shadowblood Ridge,DSC,Duskmourn: House of Horror Commander,296,normal,rare,1,99361,d7af1d6b-ff13-4886-a212-4a6e09153475,de
Smoldering Marsh,DSC,Duskmourn: House of Horror Commander,299,normal,rare,1,99310,b73bf995-678e-484d-8df8-ae63873f3118,de
Temple of Deceit,FDN,Foundations,697,normal,rare,1,101244,e18748ce-e52e-4cd1-89d4-cd2578a0d574,de
Temple of Epiphany,FDN,Foundations,699,normal,rare,1,100258,224e8255-7bc6-44a2-86af-14f8446f4f77,de
Temple of Malice,FDN,Foundations,701,normal,rare,1,101199,d78eccc4-1500-43f1-94f5-b39c160b6381,de
Fact or Fiction,WOC,Wilds of Eldraine Commander,90,normal,uncommon,1,85855,fb383b24-2d6f-4cc6-80ed-8490ae5daab2,de
Thirst for Knowledge,NEO,Kamigawa: Neon Dynasty,85,normal,uncommon,1,66723,6b927837-8252-4ea7-b2d0-ab624de65bd7,de
Abrade,FDN,Foundations,188,normal,uncommon,1,100522,548947dc-a5ca-43b5-9531-bcef20fa4ae5,de
Expressive Iteration,OTC,Outlaws of Thunder Junction Commander,224,normal,uncommon,1,93683,6da813aa-7fca-4e7e-8946-b5a900bba6c8,de
Oni-Cult Anvil,NEO,Kamigawa: Neon Dynasty,230,normal,uncommon,1,66601,c84db1e2-855c-4169-a9cc-a54c73c14e0c,de
Dreamstone Hedron,M3C,Modern Horizons 3 Commander,289,normal,uncommon,1,94918,25c5e6f8-eec6-4a90-b7c6-36f882bab64a,de
Fellwar Stone,DSC,Duskmourn: House of Horror Commander,245,normal,uncommon,1,99247,8d73a3c2-ccff-49b6-8e94-7f7d6ad56898,de
Hedron Archive,BLC,Bloomburrow Commander,275,normal,uncommon,1,96206,228ce785-033c-4973-89c7-4616a5b9c9d2,de
Ichor Wellspring,C21,Commander 2021,245,normal,common,1,58519,1ccdb407-ac8f-4736-89d3-ab0d086096ea,de
Mind Stone,BLC,Bloomburrow Commander,280,normal,uncommon,1,96305,5cf95476-27ed-487d-8459-c97a921bb808,de
Servo Schematic,AER,Aether Revolt,176,normal,uncommon,1,6238,af2299e0-d31f-4ec4-9497-16e494ee21e6,de
Sol Ring,M3C,Modern Horizons 3 Commander,305,normal,uncommon,1,94714,19911e6e-7c35-4281-b31c-266382f052cc,de
Thran Dynamo,BLC,Bloomburrow Commander,290,normal,uncommon,1,96319,6455b185-aa5e-45e1-951e-f6eef517daf2,de
Buried Ruin,ONC,Phyrexia: All Will Be One Commander,147,normal,uncommon,1,78892,dd138d22-6381-495e-bc69-91b643708d38,de
Crumbling Necropolis,LCC,The Lost Caverns of Ixalan Commander,326,normal,uncommon,1,88922,d3600e12-5633-42fd-b1cc-e90790a16b20,de
Dimir Aqueduct,DSC,Duskmourn: House of Horror Commander,270,normal,uncommon,1,99238,84bf9d60-64b8-4209-acfe-e07eefc6bf1f,de
Izzet Boilerworks,M3C,Modern Horizons 3 Commander,350,normal,uncommon,1,94795,af8535f9-463e-4963-94db-db0e22605275,de
"Mishra, Eminent One",BRC,The Brothers' War Commander,1,normal,mythic,1,75584,7f5b1daa-ec45-48de-9496-6ca5b491a0dc,de
Ashnod the Uncaring,BRC,The Brothers' War Commander,4,normal,mythic,1,75690,a76e8ab8-33bf-4a5a-b6a2-7046301b6c31,de
Glint Raker,BRC,The Brothers' War Commander,7,normal,rare,1,75553,7520ee10-3ed1-40eb-86a0-3e463a5fba76,de
Terisiare's Devastation,BRC,The Brothers' War Commander,9,normal,rare,1,75432,494a9b67-cfd8-44cd-adbb-8e8a9eeca0d4,de
Blast-Furnace Hellkite,BRC,The Brothers' War Commander,12,normal,rare,1,75274,04c349f2-69b1-48dd-a547-f2b55f542700,de
"Farid, Enterprising Salvager",BRC,The Brothers' War Commander,13,normal,rare,1,75260,003367c7-6cb8-4451-8349-76ce5d21e367,de
Machine God's Effigy,BRC,The Brothers' War Commander,16,normal,rare,1,75501,637f69c2-ba24-42d1-9345-8ebdb04b6904,de
Scavenged Brawler,BRC,The Brothers' War Commander,17,normal,rare,1,75709,afd0ba67-cbb7-49fe-83a0-02e85a37d9d6,de
Smelting Vat,BRC,The Brothers' War Commander,18,normal,rare,1,75854,e5b82177-3795-470a-abff-a4a936b27430,de
Wondrous Crucible,BRC,The Brothers' War Commander,20,normal,rare,1,75893,f4cb4a2b-c48f-4d30-8e0d-f76579be1747,de
"Muzzio, Visionary Architect",CNS,Conspiracy,23,normal,mythic,1,14397,170926b9-4bfa-4a9b-a297-db1672bc48d9,de
"Geth, Lord of the Vault",2XM,Double Masters,94,normal,mythic,1,51951,920d56a4-fc94-43d8-9d65-361b66172a5f,de
Herald of Anguish,BRC,The Brothers' War Commander,108,normal,mythic,1,75924,fec860f2-6ef0-4b74-9672-72b4de2b55ca,de
"Jhoira, Weatherlight Captain",2XM,Double Masters,203,normal,rare,1,51886,4f77d23d-6257-4dae-b585-29f45f13f2e2,de
"Silas Renn, Seeker Adept",BRC,The Brothers' War Commander,129,normal,mythic,1,75568,79b50fc8-9658-4837-ade8-2f34d12d3cc7,de
Lithoform Engine,ZNR,Zendikar Rising,245,normal,mythic,1,54583,6683416a-5820-4cd0-b28a-60a53239e9ef,de
"Emry, Lurker of the Loch",NEC,Neon Dynasty Commander,91,normal,rare,1,66985,20fec02d-77af-4975-b410-7097c7c28e7e,de
Master Transmuter,2XM,Double Masters,58,normal,rare,1,51878,480eb74f-9e62-41f7-b48a-b4249aab5752,de
"Padeem, Consul of Innovation",CMM,Commander Masters,109,normal,uncommon,1,83975,00a4aef8-64fc-4e9d-adac-ef4c85d40b4a,de
Workshop Elders,MOC,March of the Machine Commander,245,normal,rare,1,81483,0058a848-cb55-408a-a500-d97f573588f5,de
"Fain, the Broker",OTC,Outlaws of Thunder Junction Commander,133,normal,rare,1,93714,7f1ff9e5-3d69-43a9-965c-2d87951cfd2b,de
Audacious Reshapers,C21,Commander 2021,47,normal,rare,1,58732,ec593c8a-b5ef-45a1-ac19-45937a876038,de
Blasphemous Act,DRC,Aetherdrift Commander,101,normal,rare,1,103283,d1fff9a2-75c1-4623-9185-7cade6531b1e,de
Chaos Warp,DSC,Duskmourn: House of Horror Commander,162,normal,rare,1,99084,2501b5b8-32f1-4bac-b186-d9331702226c,de
Cursed Mirror,MH3,Modern Horizons 3,279,normal,rare,1,94486,6768daa5-41b0-49e1-b71a-63f733b4dc3d,de
Hellkite Igniter,MOC,March of the Machine Commander,284,normal,rare,1,82000,dc03ad3e-8113-432c-bff6-3ced73af8728,de
"Slobad, Goblin Tinkerer",C16,Commander 2016,133,normal,rare,1,7221,4256dcc1-0eee-4385-9a5c-70abb212bf49,de
Bedevil,DMC,Dominaria United Commander,144,normal,rare,1,71880,fc81669c-af6e-4af4-b1eb-43ff7fdda590,de
"Brudiclad, Telchor Engineer",M3C,Modern Horizons 3 Commander,257,normal,mythic,1,94806,c08f6c5d-f582-4628-b8e9-b6e93008fd11,de
Idol of Oblivion,BLC,Bloomburrow Commander,277,normal,rare,1,96327,6b87b385-0ad9-4aa7-8a7e-c42b9c002a99,de
Metalwork Colossus,CMM,Commander Masters,960,normal,rare,1,84473,6f61e807-aa79-41b1-b785-24dddad28021,de
Mirrorworks,C18,Commander 2018,211,normal,rare,1,632,99fff4f2-1a12-4bb5-9904-6c058e5ed595,de
Oblivion Stone,M3C,Modern Horizons 3 Commander,303,normal,rare,1,94922,2994bab5-59ae-4545-a125-67032850b4de,de
Spine of Ish Sah,BLC,Bloomburrow Commander,285,normal,rare,1,96147,033b1ee0-494f-4881-8bdf-f9436d58fd66,de
Strionic Resonator,MOC,March of the Machine Commander,384,normal,rare,1,81908,b9edb215-f967-4968-905e-d1dc3b5d3424,de
Trading Post,CM2,Commander Anthology Volume II,225,normal,rare,1,1512,1ae64bb3-115a-4c68-99c9-a45b6f788b80,de
Eldrazi,TBLC,Bloomburrow Commander Tokens,2,normal,common,1,96291,5658b0e1-2c8e-4901-a478-f2a50ced40af,de
Mishra's Warform,TBRC,The Brothers' War Commander Tokens,9,normal,common,1,75990,287ccbc9-2ffa-4fb3-97d8-2bd469c9411a,de
Phyrexian Myr,TM3C,Modern Horizons 3 Commander Tokens,7,normal,common,1,95193,51649b34-3e27-4005-85e3-9393ca7e663d,de
Goat,TBLC,Bloomburrow Commander Tokens,5,normal,common,1,96249,3805aa7a-6384-45e0-868c-01265822c078,de
Myr,T2XM,Double Masters Tokens,7,normal,common,1,51879,483c8cd6-288c-49d7-ac28-642132f85259,de
Servo,TCMM,Commander Masters Tokens,45,normal,common,2,84995,e6a5faa3-b86e-4e05-93db-5db9507ae7d0,de
Powerstone,TBRO,The Brothers' War Tokens,7,normal,common,4,76010,d45fe4b6-aeaf-4f84-b660-c7b482ed8512,de
Scrap,TBRC,The Brothers' War Commander Tokens,12,normal,common,2,76014,f36fdf0d-035d-4313-87f5-4a2502a20518,de
Construct,TCMM,Commander Masters Tokens,74,normal,common,2,85124,3f695aef-e30a-4289-a9b8-24b5495c344e,de
Copy,TBLC,Bloomburrow Commander Tokens,1,normal,common,3,96125,db388be3-ff31-4415-bc4b-de62f7223b1f,de
Inkling,TDSC,Duskmourn Commander Tokens,21,normal,common,2,99231,7e76e46c-936c-4039-95ec-1bb4c1c71e78,de
